Model,Split,ECE,Brier
LogReg,validation,0.05601183132986058,0.03701015443178586
LogReg,test,0.29048504580129025,0.2733536474459642
ExtraTrees,validation,0.015166662752598817,0.006056880242879033
ExtraTrees,test,0.3932248239457768,0.34983870219105834
GradientBoosting,validation,0.005701680052983516,0.005711676735326168
GradientBoosting,test,0.5028533979507751,0.49802760069369995
HistGradientBoosting,validation,0.0037174925676131624,0.003460026759107383
HistGradientBoosting,test,0.5176747361433212,0.5124136948043775
MLP,validation,0.002092553093790735,0.004548684416686637
MLP,test,0.5913043156680133,0.5782368546712396
RF-500,validation,0.002179907872078015,0.004609810543714911
RF-500,test,0.49941787567143064,0.4481143053966249
XGBoost,validation,0.015546798511585157,0.009752898312059735
XGBoost,test,0.38761405985463754,0.3724570994781333
ScoreRF,validation,0.002617359544840722,0.004510774238323825
ScoreRF,test,0.5377552739175643,0.5242780251807464
TabRF,validation,0.00393998169384417,0.0046561822459685745
TabRF,test,0.4983590211550107,0.45055875191836176
MetaRF,validation,0.0031322647124615707,0.004248761851551447
MetaRF,test,0.5006836272723819,0.4621002424515631
