Model,ThresholdPolicy,Threshold,AUC,AUC_95CI,AP,AP_95CI,Precision,Recall,F1,F1_95CI,TN,FP,FN,TP
LogReg,val_fpr_budget,0.913616,0.7698,"[0.6949, 0.8392]",0.8024,"[0.7202, 0.8935]",0.7059,0.0992,0.1739,"[0.0916, 0.2571]",72,5,109,12
LogReg,val_max_f1,0.999999,0.7698,"[0.6949, 0.8392]",0.8024,"[0.7202, 0.8935]",0.5000,0.0083,0.0163,"[0.0000, 0.0504]",76,1,120,1
ExtraTrees,val_fpr_budget,0.265679,0.7973,"[0.7293, 0.8619]",0.8572,"[0.7913, 0.9243]",0.9649,0.4545,0.6180,"[0.5294, 0.7005]",75,2,66,55
ExtraTrees,val_max_f1,0.265679,0.7973,"[0.7293, 0.8619]",0.8572,"[0.7913, 0.9243]",0.9649,0.4545,0.6180,"[0.5294, 0.7005]",75,2,66,55
GradientBoosting,val_fpr_budget,0.000020,0.6153,"[0.5380, 0.6940]",0.7552,"[0.6876, 0.8206]",0.6571,0.3802,0.4817,"[0.3889, 0.5688]",53,24,75,46
GradientBoosting,val_max_f1,0.000398,0.6153,"[0.5380, 0.6940]",0.7552,"[0.6876, 0.8206]",0.9750,0.3223,0.4845,"[0.3836, 0.5767]",76,1,82,39
HistGradientBoosting,val_fpr_budget,0.000273,0.7106,"[0.6324, 0.7797]",0.8090,"[0.7422, 0.8692]",0.7033,0.5289,0.6038,"[0.5237, 0.6791]",50,27,57,64
HistGradientBoosting,val_max_f1,0.087388,0.7106,"[0.6324, 0.7797]",0.8090,"[0.7422, 0.8692]",0.9583,0.1901,0.3172,"[0.2137, 0.4099]",76,1,98,23
MLP,val_fpr_budget,0.030387,0.7865,"[0.7191, 0.8490]",0.8339,"[0.7649, 0.9109]",0.9231,0.3967,0.5549,"[0.4568, 0.6409]",73,4,73,48
MLP,val_max_f1,0.030387,0.7865,"[0.7191, 0.8490]",0.8339,"[0.7649, 0.9109]",0.9231,0.3967,0.5549,"[0.4568, 0.6409]",73,4,73,48
RF-500,val_fpr_budget,0.019573,0.7490,"[0.6750, 0.8169]",0.8352,"[0.7670, 0.8983]",0.7431,0.6694,0.7043,"[0.6372, 0.7687]",49,28,40,81
RF-500,val_max_f1,0.194697,0.7490,"[0.6750, 0.8169]",0.8352,"[0.7670, 0.8983]",0.9565,0.3636,0.5269,"[0.4321, 0.6163]",75,2,77,44
XGBoost,val_fpr_budget,0.076504,0.6717,"[0.5925, 0.7480]",0.7841,"[0.7068, 0.8573]",0.7176,0.5041,0.5922,"[0.5052, 0.6667]",53,24,60,61
XGBoost,val_max_f1,0.767843,0.6717,"[0.5925, 0.7480]",0.7841,"[0.7068, 0.8573]",0.9375,0.2479,0.3922,"[0.2897, 0.4837]",75,2,91,30
ScoreRF,val_fpr_budget,0.059149,0.5960,"[0.5238, 0.6735]",0.6846,"[0.6054, 0.7783]",0.6769,0.3636,0.4731,"[0.3825, 0.5650]",56,21,77,44
ScoreRF,val_max_f1,0.088814,0.5960,"[0.5238, 0.6735]",0.6846,"[0.6054, 0.7783]",0.6852,0.3058,0.4229,"[0.3250, 0.5165]",60,17,84,37
TabRF,val_fpr_budget,0.018254,0.7360,"[0.6635, 0.8052]",0.8270,"[0.7599, 0.8898]",0.7500,0.6942,0.7210,"[0.6484, 0.7849]",49,28,37,84
TabRF,val_max_f1,0.174148,0.7360,"[0.6635, 0.8052]",0.8270,"[0.7599, 0.8898]",0.9583,0.3802,0.5444,"[0.4512, 0.6304]",75,2,75,46
MetaRF,val_fpr_budget,0.016541,0.7113,"[0.6360, 0.7796]",0.8105,"[0.7406, 0.8755]",0.7308,0.6281,0.6756,"[0.5990, 0.7456]",49,28,45,76
MetaRF,val_max_f1,0.195849,0.7113,"[0.6360, 0.7796]",0.8105,"[0.7406, 0.8755]",0.9474,0.2975,0.4528,"[0.3544, 0.5476]",75,2,85,36
