feature,mean_f1_drop,std_f1_drop,mean_auc_drop,std_auc_drop
eventId_3,0.04173033051165793,0.011664808370324754,0.05377213695395504,0.008669481247254402
eventId_5,0.033222370522331554,0.012748557073053446,0.05024847053772666,0.010863061291153532
eventId_1005,0.03194122811603536,0.00976894357438353,0.04233658903080383,0.008453194402608678
eventId_4,0.02681606737283212,0.007730800502873105,0.024998390039712274,0.007581598286816799
entropy_eventIds,0.02487718032315603,0.01179703823429986,0.037677363958355595,0.011025637575619637
eventId_1004,0.024562652188894026,0.011115894317194145,0.03570355264570134,0.010607993190918253
n_unique_args,0.023826954348474833,0.009353904681368543,0.025821616400128703,0.008432332445314312
n_events,0.021812882205025214,0.009022425973522328,0.030818396479553412,0.006318719166909055
eventId_59,0.019325987164914803,0.009022649040178651,0.03255983685735743,0.009230757474580475
eventId_6,0.01822072209779344,0.0033705723716154325,0.021201030374584033,0.003206250003954981
duration,0.018208420874335364,0.012330590770156248,0.03143393796286351,0.009848535358729094
event_rate,0.016570851569210204,0.00862754466821448,0.02417248041214975,0.007923055903680032
eventId_269,0.012016068950243777,0.0016060336926720445,0.005368680905870926,0.002398953919334376
eventId_106,0.008902462935606953,0.0019649764920802613,0.019348502736932404,0.0026450364382577933
std_argsNum,0.008634419307752154,0.013787336052117235,0.02293173768380371,0.013046583923777345
eventId_51,0.006287669099153285,0.0037794833276864003,0.008470001073306773,0.0048236878175382065
eventId_1006,0.005861466813708614,0.0008743141616914639,0.0059713427068798074,0.0007129963403986735
eventId_1003,0.0053733796851684786,0.006750792031615746,0.012202962326929197,0.005510580968690572
eventId_33,0.005283803957404763,0.010799663383607662,0.006734463883224126,0.01023967508373295
eventId_56,0.004658900163118668,0.011622823791012609,0.017716003005259124,0.010328456157639365
mean_returnValue,0.004306929340587079,0.014431996536876667,0.02098314908232254,0.012670802278039548
eventId_49,0.004174047317807906,0.001736726437864529,0.0026779006117848315,0.002419485782403174
eventId_114,0.0032646310253834888,0.0007255462704573014,0.0019378555328967827,0.0013885308853181437
eventId_113,0.0031118759790114223,0.00030397870418969006,0.0015235590855424597,0.0010924527991929356
eventId_263,0.003006492791900539,0.0010814779679187906,0.0030417516367929453,0.001110260074340434
eventId_87,0.002927258721250159,0.0006715592077646075,0.003312224965117464,0.0006060183650427754
eventId_41,0.002850984133679302,0.003347560353746616,0.011798325641300789,0.002221270389408566
n_unique_eventIds,0.0024940530805041407,0.007939024898811646,0.0210335945046688,0.006527981754405955
eventId_257,0.0021699091331293142,0.008629918647791243,0.010618761403885292,0.008598674005952505
eventId_62,0.0007166642000887946,0.001853974090868157,0.013535472791671084,0.0012489293954299197
eventId_42,0.0004989260367121651,0.0035196279862365052,0.0003949769239024603,0.004022621228502384
eventId_319,0.00045873966940536805,0.0018565133160475178,0.0003745840935922773,0.002125567374675922
eventId_32,0.0004485731701511164,0.0022390781433356656,0.013281635719652175,0.002469987795103934
eventId_292,0.00021569274788159066,0.0007861908727211372,0.0029113448534935525,0.001444273370750263
eventId_90,0.00018487949818422056,0.0007317741354397803,-0.00019480519480528314,0.0012325669926567663
eventId_105,0.00015406624848685047,0.0006715592077646073,-1.717290973492158e-05,0.00029304225732028013
n_unique_parents,0.00015406624848685047,0.0006715592077646075,0.000224321133412001,0.00119270859428478
eventId_321,9.243974909211028e-05,0.0005256346638698128,0.00013845658473756738,0.0005258754550596883
eventId_50,6.162649939474018e-05,0.00043138549576318143,0.00015616614790166738,0.0008303433373824411
eventId_91,0.0,0.0,1.073306858430101e-06,1.0679268402983238e-05
eventId_94,0.0,0.0,0.0,0.0
eventId_123,0.0,0.0,0.00014274981217129223,0.0004762157424484681
eventId_43,0.0,0.0,0.0,0.0
eventId_165,0.0,0.0,0.0,0.0
eventId_166,0.0,0.0,0.00274766555758281,0.0002919710316353975
eventId_1009,0.0,0.0,0.0,0.0
eventId_268,0.0,0.0,0.0,0.0
eventId_260,0.0,0.0,0.0001760223247826498,0.0006064934068687626
eventId_133,0.0,0.0,0.0,0.0
eventId_92,0.0,0.0,0.0,0.0
eventId_122,0.0,0.0,0.00010411076526779085,0.00038323367895673087
eventId_288,-3.346956432644932e-05,0.0013488096098633459,0.001927122464312453,0.0018334879664000912
eventId_88,-0.0027970993044250216,0.0009323664348083405,-0.000657937104218188,0.001362415410960438
eventId_157,-0.0028053312308783905,0.007656163624935106,0.009558334227755639,0.007453997885520785
max_argsNum,-0.0029396206624228405,0.009456932711725291,-0.016021788129226226,0.00793946193179332
mean_args_len,-0.003272132318217441,0.0097200388708357,-0.0015079961360953986,0.008926718048138207
eventId_217,-0.010866218116209737,0.014039972404087928,0.030033272512611266,0.011285377637321872
std_returnValue,-0.01265385687397955,0.01465350135774507,0.004338306321777296,0.01273143665414254
eventId_21,-0.013436298572417184,0.012782945940332068,0.025837716003005176,0.01165825795992603
mean_argsNum,-0.015106197774934054,0.015227097756011974,0.006563808092733619,0.011364418368127594
eventId_1010,-0.02806975985368021,0.014190251663491972,-0.004285177632285153,0.014226338012915066
