repeat,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP
1,0.9821888121359882,0.9875203348068379,0.9933993399339934,0.9376947040498442,0.9647435897435898,320,2,20,301
2,0.980011996671891,0.9852281776370432,0.9672131147540983,0.9190031152647975,0.9424920127795527,312,10,26,295
3,0.9883903175248157,0.9913970001466326,0.9681528662420382,0.9440993788819876,0.9559748427672956,311,10,18,304
4,0.9789284263075405,0.9848011881229485,0.937888198757764,0.940809968847352,0.9393468118195957,302,20,19,302
5,0.9909250981985642,0.9932568067327975,0.971875,0.9688473520249221,0.9703588143525741,313,9,10,311
6,0.9876550376347206,0.9908306479727332,0.9747634069400631,0.9626168224299065,0.9686520376175548,314,8,12,309
7,0.9808391865482479,0.9856462527877563,0.9166666666666666,0.9565217391304348,0.9361702127659575,293,28,14,308
8,0.983717420328554,0.9878897193512071,0.9351851851851852,0.9409937888198758,0.9380804953560371,300,21,19,303
9,0.9937501209341925,0.9949303940326445,0.9375,0.9813084112149533,0.958904109589041,301,21,6,315
10,0.9819953174280683,0.9869294448750648,0.946875,0.9439252336448598,0.9453978159126365,305,17,18,303
11,0.9819856426926724,0.9872167638495976,0.9501557632398754,0.9472049689440993,0.9486780715396579,305,16,17,305
12,0.9780577001219016,0.9834448169075152,0.9525316455696202,0.9376947040498442,0.945054945054945,307,15,20,301
13,0.9897931541572339,0.9922554771084084,0.9627329192546584,0.9657320872274143,0.9642301710730948,310,12,11,310
14,0.9866875640951219,0.9910222693670379,0.9686520376175548,0.9596273291925466,0.9641185647425897,311,10,13,309
15,0.9877421102532846,0.9905295261839274,0.9226190476190477,0.9627329192546584,0.9422492401215805,295,26,12,310
16,0.9877227607824927,0.9907043701817294,0.9506172839506173,0.9565217391304348,0.9535603715170279,305,16,14,308
17,0.9944950755596835,0.9951913966238932,0.9717868338557993,0.9627329192546584,0.9672386895475819,312,9,12,310
18,0.9921247653876667,0.9938827979914318,0.9429429429429429,0.9781931464174455,0.9602446483180428,303,19,7,314
19,0.9853427758750798,0.9881247499803653,0.9296636085626911,0.9470404984423676,0.9382716049382716,299,23,17,304
20,0.9913894854975717,0.9925935105194488,0.9589905362776026,0.9470404984423676,0.9529780564263323,309,13,17,304
21,0.9877179234147946,0.9905894257465698,0.956386292834891,0.956386292834891,0.956386292834891,308,14,14,307
22,0.9866682146243301,0.9898046814917223,0.9384615384615385,0.9501557632398754,0.9442724458204335,302,20,16,305
23,0.9872970724250691,0.990580266586638,0.9309309309309309,0.9627329192546584,0.9465648854961832,298,23,12,310
24,0.9819662932218803,0.9869900558864243,0.94375,0.937888198757764,0.940809968847352,303,18,20,302
25,0.9954915733054702,0.9962216220869453,0.9809523809523809,0.9626168224299065,0.9716981132075472,316,6,12,309
26,0.9953077533329464,0.9961319568933102,0.9347181008902077,0.9782608695652174,0.9559939301972686,299,22,7,315
27,0.9872293492772972,0.9903911361410269,0.9447852760736196,0.9565217391304348,0.9506172839506173,303,18,14,308
28,0.9784446895377412,0.9841096421956583,0.954983922829582,0.9252336448598131,0.939873417721519,308,14,24,297
29,0.9899866488651535,0.9925401977045646,0.9597523219814241,0.9627329192546584,0.9612403100775194,308,13,12,310
30,0.9924827305973182,0.9945953707794598,0.9717868338557993,0.9627329192546584,0.9672386895475819,312,9,12,310
