fold,threshold,val_n,val_positives,auc,ap,precision,recall,f1,tn,fp,fn,tp,observed_fpr
1,0.4413786521244968,364,164,0.9918597560975609,0.9924321120912782,0.9695121951219512,0.9695121951219512,0.9695121951219512,195,5,5,159,0.025
2,0.37968429983429014,364,165,0.984528704126694,0.9844380145580928,0.9559748427672956,0.9212121212121213,0.9382716049382716,192,7,13,152,0.035175879396984924
3,0.4367899531038876,364,165,0.9927211816659054,0.9937033393830185,0.9640718562874252,0.9757575757575757,0.9698795180722891,193,6,4,161,0.03015075376884422
4,0.37072700142882964,364,165,0.9928430028932542,0.9926252847015199,0.9467455621301775,0.9696969696969697,0.9580838323353293,190,9,5,160,0.04522613065326633
5,0.4048201882062246,363,164,0.9836070596886873,0.9868259976866305,0.98125,0.9573170731707317,0.9691358024691358,196,3,7,157,0.01507537688442211
6,0.3341994747591022,364,164,0.9918902439024391,0.9922286444620821,0.9404761904761905,0.9634146341463414,0.9518072289156626,190,10,6,158,0.05
7,0.469093868841477,364,165,0.9799451804476931,0.9841116545800604,0.9567901234567902,0.9393939393939394,0.9480122324159022,192,7,10,155,0.035175879396984924
8,0.45840130173470783,364,165,0.9905131719202072,0.9909390946380794,0.9813664596273292,0.9575757575757575,0.9693251533742331,196,3,7,158,0.01507537688442211
9,0.3956453165405096,364,165,0.9924470839043703,0.9937787275562906,0.9700598802395209,0.9818181818181818,0.9759036144578314,194,5,3,162,0.02512562814070352
10,0.34648719347969703,363,164,0.988141929157985,0.9887968362737415,0.9457831325301205,0.9573170731707317,0.9515151515151515,190,9,7,157,0.04522613065326633
11,0.37128654271288075,364,164,0.9911280487804879,0.9913418709981094,0.9390243902439024,0.9390243902439024,0.9390243902439024,190,10,10,154,0.05
12,0.407327259172656,364,165,0.9954621592812548,0.9953206215189273,0.9532163742690059,0.9878787878787879,0.9702380952380952,191,8,2,163,0.04020100502512563
13,0.3357249547163314,364,165,0.981422262829298,0.98406999707628,0.96875,0.9393939393939394,0.9538461538461539,194,5,10,155,0.02512562814070352
14,0.38648550469394183,364,165,0.9853814527181362,0.9870373336340323,0.9457831325301205,0.9515151515151515,0.9486404833836858,190,9,8,157,0.04522613065326633
15,0.3623298673712384,363,164,0.9932896188258366,0.993696641478533,0.9696969696969697,0.975609756097561,0.9726443768996961,194,5,4,160,0.02512562814070352
16,0.510430041468073,364,164,0.9941463414634146,0.9941027429708446,0.9814814814814815,0.9695121951219512,0.9754601226993865,197,3,5,159,0.015
17,0.33045093608296755,364,165,0.9805999695446932,0.983026438981232,0.9565217391304348,0.9333333333333333,0.9447852760736196,192,7,11,154,0.035175879396984924
18,0.38289720477526196,364,165,0.9921729861428354,0.9928580316247871,0.9640718562874252,0.9757575757575757,0.9698795180722891,193,6,4,161,0.03015075376884422
19,0.37499957721117005,364,165,0.9883203898279275,0.9900651712154052,0.9754601226993865,0.9636363636363636,0.9695121951219512,195,4,6,159,0.020100502512562814
20,0.3768569376764933,363,164,0.9913285941904646,0.9911452546966297,0.9461077844311377,0.9634146341463414,0.9546827794561934,190,9,6,158,0.04522613065326633
21,0.41053879603171933,364,164,0.9854573170731707,0.9872019635792297,0.9447852760736196,0.9390243902439024,0.9418960244648318,191,9,10,154,0.045
22,0.3268002028452873,364,165,0.9940612151667428,0.993691611434414,0.9520958083832335,0.9636363636363636,0.9578313253012049,191,8,6,159,0.04020100502512563
23,0.5100887985794268,364,165,0.979594944419065,0.9826538963410254,0.9748427672955975,0.9393939393939394,0.9567901234567902,195,4,10,155,0.020100502512562814
24,0.3701005882442255,364,165,0.991411603471905,0.9914473610851325,0.9578313253012049,0.9636363636363636,0.9607250755287009,192,7,6,159,0.035175879396984924
25,0.32412061252787816,363,164,0.9895973771295501,0.9921531445886712,0.9526627218934911,0.9817073170731707,0.9669669669669669,191,8,3,161,0.04020100502512563
26,0.36303810286230176,364,164,0.9866158536585365,0.9879373940591698,0.9457831325301205,0.9573170731707317,0.9515151515151515,191,9,7,157,0.045
27,0.3580630989604209,364,165,0.9964976397137201,0.996295306202206,0.9473684210526315,0.9818181818181818,0.9642857142857143,190,9,3,162,0.04522613065326633
28,0.3040426360111433,364,165,0.9950966955992082,0.9953185477189258,0.9476744186046512,0.9878787878787879,0.9673590504451038,190,9,2,163,0.04522613065326633
29,0.4766974448090998,364,165,0.9856250951728339,0.986781705133101,0.9570552147239264,0.9454545454545454,0.9512195121951219,192,7,9,156,0.035175879396984924
30,0.3470810523553002,363,164,0.9870082117906607,0.9874807077570279,0.96875,0.9451219512195121,0.9567901234567902,194,5,9,155,0.02512562814070352
31,0.4389197836156244,364,164,0.9819207317073171,0.984130575730791,0.9627329192546584,0.9451219512195121,0.9538461538461539,194,6,9,155,0.03
32,0.30391589180912093,364,165,0.99759403075986,0.9974430774204615,0.9479768786127167,0.9939393939393939,0.9704142011834319,190,9,1,164,0.04522613065326633
33,0.3576986286831226,364,165,0.978818334094716,0.9815874589227678,0.9451219512195121,0.9393939393939394,0.9422492401215805,190,9,10,155,0.04522613065326633
34,0.45086992568503914,364,165,0.9968021927820923,0.9967630125505319,0.9644970414201184,0.9878787878787879,0.9760479041916168,193,6,2,163,0.03015075376884422
35,0.3105878097596284,363,164,0.9885555827920088,0.988964481633148,0.9570552147239264,0.9512195121951219,0.9541284403669725,192,7,8,156,0.035175879396984924
36,0.3561705067811171,364,164,0.9849390243902438,0.9862592412023379,0.9393939393939394,0.9451219512195121,0.9422492401215805,190,10,9,155,0.05
37,0.43122067832892297,364,165,0.9848941678087406,0.9876698046798982,0.9461077844311377,0.9575757575757575,0.9518072289156626,190,9,7,158,0.04522613065326633
38,0.382420348968136,364,165,0.9934673366834172,0.9941432204124059,0.975609756097561,0.9696969696969697,0.9726443768996961,195,4,5,160,0.020100502512562814
39,0.278480798858823,364,165,0.9914116034719049,0.9914423751606922,0.9457831325301205,0.9515151515151515,0.9486404833836858,190,9,8,157,0.04522613065326633
