source_fold,threshold,auc,ap,precision,recall,f1,tn,fp,fn,tp,observed_fpr
1,0.4413786521244968,0.9406400966183575,0.9384319036532763,0.9642857142857143,0.7336956521739131,0.8333333333333334,265,5,49,135,0.018518518518518517
2,0.37968429983429014,0.9406400966183575,0.9384319036532763,0.9577464788732394,0.7391304347826086,0.8343558282208589,264,6,48,136,0.022222222222222223
3,0.4367899531038876,0.9406400966183575,0.9384319036532763,0.9642857142857143,0.7336956521739131,0.8333333333333334,265,5,49,135,0.018518518518518517
4,0.37072700142882964,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
5,0.4048201882062246,0.9406400966183575,0.9384319036532763,0.9574468085106383,0.7336956521739131,0.8307692307692308,264,6,49,135,0.022222222222222223
6,0.3341994747591022,0.9406400966183575,0.9384319036532763,0.9387755102040817,0.75,0.8338368580060423,261,9,46,138,0.03333333333333333
7,0.469093868841477,0.9406400966183575,0.9384319036532763,0.9781021897810219,0.7282608695652174,0.8348909657320872,267,3,50,134,0.011111111111111112
8,0.45840130173470783,0.9406400966183575,0.9384319036532763,0.9782608695652174,0.7336956521739131,0.8385093167701864,267,3,49,135,0.011111111111111112
9,0.3956453165405096,0.9406400966183575,0.9384319036532763,0.9574468085106383,0.7336956521739131,0.8307692307692308,264,6,49,135,0.022222222222222223
10,0.34648719347969703,0.9406400966183575,0.9384319036532763,0.9452054794520548,0.75,0.8363636363636363,262,8,46,138,0.02962962962962963
11,0.37128654271288075,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
12,0.407327259172656,0.9406400966183575,0.9384319036532763,0.9574468085106383,0.7336956521739131,0.8307692307692308,264,6,49,135,0.022222222222222223
13,0.3357249547163314,0.9406400966183575,0.9384319036532763,0.9387755102040817,0.75,0.8338368580060423,261,9,46,138,0.03333333333333333
14,0.38648550469394183,0.9406400966183575,0.9384319036532763,0.9574468085106383,0.7336956521739131,0.8307692307692308,264,6,49,135,0.022222222222222223
15,0.3623298673712384,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
16,0.510430041468073,0.9406400966183575,0.9384319036532763,0.9925925925925926,0.7282608695652174,0.8401253918495298,269,1,50,134,0.003703703703703704
17,0.33045093608296755,0.9406400966183575,0.9384319036532763,0.9387755102040817,0.75,0.8338368580060423,261,9,46,138,0.03333333333333333
18,0.38289720477526196,0.9406400966183575,0.9384319036532763,0.9577464788732394,0.7391304347826086,0.8343558282208589,264,6,48,136,0.022222222222222223
19,0.37499957721117005,0.9406400966183575,0.9384319036532763,0.951048951048951,0.7391304347826086,0.8318042813455657,263,7,48,136,0.025925925925925925
20,0.3768569376764933,0.9406400966183575,0.9384319036532763,0.9577464788732394,0.7391304347826086,0.8343558282208589,264,6,48,136,0.022222222222222223
21,0.41053879603171933,0.9406400966183575,0.9384319036532763,0.9574468085106383,0.7336956521739131,0.8307692307692308,264,6,49,135,0.022222222222222223
22,0.3268002028452873,0.9406400966183575,0.9384319036532763,0.9387755102040817,0.75,0.8338368580060423,261,9,46,138,0.03333333333333333
23,0.5100887985794268,0.9406400966183575,0.9384319036532763,0.9925925925925926,0.7282608695652174,0.8401253918495298,269,1,50,134,0.003703703703703704
24,0.3701005882442255,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
25,0.32412061252787816,0.9406400966183575,0.9384319036532763,0.9387755102040817,0.75,0.8338368580060423,261,9,46,138,0.03333333333333333
26,0.36303810286230176,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
27,0.3580630989604209,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
28,0.3040426360111433,0.9406400966183575,0.9384319036532763,0.9266666666666666,0.7554347826086957,0.8323353293413174,259,11,45,139,0.040740740740740744
29,0.4766974448090998,0.9406400966183575,0.9384319036532763,0.9781021897810219,0.7282608695652174,0.8348909657320872,267,3,50,134,0.011111111111111112
30,0.3470810523553002,0.9406400966183575,0.9384319036532763,0.9452054794520548,0.75,0.8363636363636363,262,8,46,138,0.02962962962962963
31,0.4389197836156244,0.9406400966183575,0.9384319036532763,0.9642857142857143,0.7336956521739131,0.8333333333333334,265,5,49,135,0.018518518518518517
32,0.30391589180912093,0.9406400966183575,0.9384319036532763,0.9266666666666666,0.7554347826086957,0.8323353293413174,259,11,45,139,0.040740740740740744
33,0.3576986286831226,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
34,0.45086992568503914,0.9406400966183575,0.9384319036532763,0.9782608695652174,0.7336956521739131,0.8385093167701864,267,3,49,135,0.011111111111111112
35,0.3105878097596284,0.9406400966183575,0.9384319036532763,0.9328859060402684,0.7554347826086957,0.8348348348348348,260,10,45,139,0.037037037037037035
36,0.3561705067811171,0.9406400966183575,0.9384319036532763,0.9517241379310345,0.75,0.8389057750759878,263,7,46,138,0.025925925925925925
37,0.43122067832892297,0.9406400966183575,0.9384319036532763,0.9642857142857143,0.7336956521739131,0.8333333333333334,265,5,49,135,0.018518518518518517
38,0.382420348968136,0.9406400966183575,0.9384319036532763,0.9577464788732394,0.7391304347826086,0.8343558282208589,264,6,48,136,0.022222222222222223
39,0.278480798858823,0.9406400966183575,0.9384319036532763,0.9056603773584906,0.782608695652174,0.8396501457725948,255,15,40,144,0.05555555555555555
40,0.42748018601536103,0.9406400966183575,0.9384319036532763,0.9642857142857143,0.7336956521739131,0.8333333333333334,265,5,49,135,0.018518518518518517
41,0.36270972086491987,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
42,0.36843242930269,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
43,0.4167565481608406,0.9406400966183575,0.9384319036532763,0.9642857142857143,0.7336956521739131,0.8333333333333334,265,5,49,135,0.018518518518518517
44,0.3578705952234923,0.9406400966183575,0.9384319036532763,0.9513888888888888,0.7445652173913043,0.8353658536585366,263,7,47,137,0.025925925925925925
