Model,bin,lower,upper,count,mean_score,empirical_positive_rate,absolute_gap
TabRF,1,0.0,0.1,137,0.01826619783023495,0.45985401459854014,0.44158781676830516
TabRF,2,0.1,0.2,15,0.1412814381592565,0.9333333333333333,0.7920518951740768
TabRF,3,0.2,0.30000000000000004,18,0.2514017427310764,1.0,0.7485982572689236
TabRF,4,0.30000000000000004,0.4,8,0.3562029211524517,0.875,0.5187970788475482
TabRF,5,0.4,0.5,6,0.4369750363291376,1.0,0.5630249636708624
TabRF,6,0.5,0.6000000000000001,7,0.5441439359896656,1.0,0.4558560640103344
TabRF,7,0.6000000000000001,0.7000000000000001,3,0.648445842515863,0.6666666666666666,0.018220824150803616
TabRF,8,0.7000000000000001,0.8,0,,,
TabRF,9,0.8,0.9,4,0.8473845584088188,1.0,0.15261544159118123
TabRF,10,0.9,1.0,0,,,
ScoreRF,1,0.0,0.1,148,0.014590633829010729,0.5878378378378378,0.5732472040088271
ScoreRF,2,0.1,0.2,19,0.14015712346362208,0.5789473684210527,0.4387902449574306
ScoreRF,3,0.2,0.30000000000000004,18,0.22816145448572359,0.6666666666666666,0.43850521218094307
ScoreRF,4,0.30000000000000004,0.4,5,0.34245929686877563,1.0,0.6575407031312244
ScoreRF,5,0.4,0.5,1,0.4028501068015794,0.0,0.4028501068015794
ScoreRF,6,0.5,0.6000000000000001,2,0.5191404395329717,0.5,0.01914043953297173
ScoreRF,7,0.6000000000000001,0.7000000000000001,2,0.6472132027214043,1.0,0.35278679727859574
ScoreRF,8,0.7000000000000001,0.8,2,0.7610952387958743,1.0,0.23890476120412574
ScoreRF,9,0.8,0.9,1,0.8559670455099347,1.0,0.14403295449006526
ScoreRF,10,0.9,1.0,0,,,
MetaRF,1,0.0,0.1,143,0.013363152059960791,0.5034965034965035,0.49013335143654274
MetaRF,2,0.1,0.2,22,0.15417653704986145,0.8181818181818182,0.6640052811319568
MetaRF,3,0.2,0.30000000000000004,13,0.24158656843851964,1.0,0.7584134315614803
MetaRF,4,0.30000000000000004,0.4,4,0.3416145029652453,0.75,0.4083854970347547
MetaRF,5,0.4,0.5,2,0.46484450028114455,1.0,0.5351554997188555
MetaRF,6,0.5,0.6000000000000001,7,0.5432041800847524,1.0,0.45679581991524765
MetaRF,7,0.6000000000000001,0.7000000000000001,3,0.6376892668932009,0.6666666666666666,0.028977399773465695
MetaRF,8,0.7000000000000001,0.8,0,,,
MetaRF,9,0.8,0.9,4,0.848085981255233,1.0,0.15191401874476695
MetaRF,10,0.9,1.0,0,,,
ExtraTrees,1,0.0,0.1,143,0.01094064182392816,0.48951048951048953,0.47856984768656136
ExtraTrees,2,0.1,0.2,8,0.16077674173879908,0.75,0.5892232582612009
ExtraTrees,3,0.2,0.30000000000000004,6,0.26413454931387875,1.0,0.7358654506861213
ExtraTrees,4,0.30000000000000004,0.4,12,0.34662076722408286,0.9166666666666666,0.5700458994425838
ExtraTrees,5,0.4,0.5,6,0.43600589536925155,1.0,0.5639941046307484
ExtraTrees,6,0.5,0.6000000000000001,2,0.5409111636922463,1.0,0.45908883630775366
ExtraTrees,7,0.6000000000000001,0.7000000000000001,3,0.6651457505799452,1.0,0.3348542494200548
ExtraTrees,8,0.7000000000000001,0.8,2,0.7596311709221633,1.0,0.24036882907783674
ExtraTrees,9,0.8,0.9,1,0.884357880141883,1.0,0.11564211985811701
