fold,repeat,split,train_n,train_positives,validation_n,validation_positives,threshold,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP,FPR
1,1,1,4655,23,1164,6,0.016978970638282746,0.9926597582037997,0.6978494623655913,0.09523809523809523,1.0,0.17391304347826086,1101,57,0,6,0.04922279792746114
2,1,2,4655,23,1164,6,0.01768607909756184,0.9940990213010938,0.6034858387799564,0.09523809523809523,1.0,0.17391304347826086,1101,57,0,6,0.04922279792746114
3,1,3,4655,23,1164,6,0.01852563092212119,0.9909326424870466,0.4226869256474519,0.1,1.0,0.18181818181818182,1104,54,0,6,0.046632124352331605
4,1,4,4655,23,1164,6,0.027982571747391997,0.99006908462867,0.3880070546737213,0.1,1.0,0.18181818181818182,1104,54,0,6,0.046632124352331605
5,1,5,4656,24,1163,5,0.022497724372903025,0.9890328151986183,0.5233818589025756,0.1,1.0,0.18181818181818182,1113,45,0,5,0.038860103626943004
6,2,1,4655,23,1164,6,0.027965648722994126,0.9916522740356937,0.4697802197802198,0.10714285714285714,1.0,0.1935483870967742,1108,50,0,6,0.04317789291882556
7,2,2,4655,23,1164,6,0.01685788643312206,0.9978411053540588,0.7443473193473193,0.09523809523809523,1.0,0.17391304347826086,1101,57,0,6,0.04922279792746114
8,2,3,4655,23,1164,6,0.020980788008645314,0.9961139896373057,0.7745726495726496,0.09836065573770492,1.0,0.1791044776119403,1103,55,0,6,0.047495682210708115
9,2,4,4655,23,1164,6,0.03113847719614033,0.9919401266551525,0.6301864801864802,0.10344827586206896,1.0,0.1875,1106,52,0,6,0.044905008635578586
10,2,5,4656,24,1163,5,0.022237718092360817,0.9970639032815198,0.6666666666666667,0.08771929824561403,1.0,0.16129032258064516,1106,52,0,5,0.044905008635578586
11,3,1,4655,23,1164,6,0.020564644455515747,0.9932354634427174,0.4429563492063492,0.10526315789473684,1.0,0.19047619047619047,1107,51,0,6,0.04404145077720207
12,3,2,4655,23,1164,6,0.024994187104948728,0.9959700633275764,0.7605820105820106,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
13,3,3,4655,23,1164,6,0.022712111899921082,0.9978411053540587,0.8075396825396824,0.10344827586206896,1.0,0.1875,1106,52,0,6,0.044905008635578586
14,3,4,4655,23,1164,6,0.022672024450783243,0.9925158318940703,0.7332535885167464,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
15,3,5,4656,24,1163,5,0.023249040438166765,0.9932642487046632,0.6085714285714285,0.09090909090909091,1.0,0.16666666666666666,1108,50,0,5,0.04317789291882556
16,4,1,4655,23,1164,6,0.02271663068541129,0.9916522740356937,0.6081168831168831,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
17,4,2,4655,23,1164,6,0.025100796768691192,0.9932354634427174,0.498015873015873,0.09523809523809523,1.0,0.17391304347826086,1101,57,0,6,0.04922279792746114
18,4,3,4655,23,1164,6,0.028871739596950288,0.9946747265400115,0.5994907407407407,0.1111111111111111,1.0,0.2,1110,48,0,6,0.04145077720207254
19,4,4,4655,23,1164,6,0.01982177166926634,0.9994242947610824,0.9333333333333333,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
20,4,5,4656,24,1163,5,0.02523583618585161,0.9977547495682211,0.8188235294117647,0.08771929824561403,1.0,0.16129032258064516,1106,52,0,5,0.044905008635578586
21,5,1,4655,23,1164,6,0.019855135515079947,0.9953943580886585,0.6868686868686869,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
22,5,2,4655,23,1164,6,0.024135972117219993,0.9926597582037997,0.5490231990231991,0.09523809523809523,1.0,0.17391304347826086,1101,57,0,6,0.04922279792746114
