split,status,train_n,train_pos,val_n,val_pos,vocab_size,threshold,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP,FPR
host_disjoint_1,ok,3639,6,2180,23,45.0,0.017058047474156592,0.5804443490393905,0.664251344961661,0.65625,0.17355371900826447,0.27450980392156865,66.0,11.0,100.0,21.0,0.14285714285714285
host_disjoint_2,ok,4985,6,834,23,47.0,0.005710465238445448,0.39427927444456373,0.6130854162390219,0.5428571428571428,0.15702479338842976,0.24358974358974358,61.0,16.0,102.0,19.0,0.2077922077922078
host_disjoint_3,skipped_single_class_fold,4847,29,972,0,,,,,,,,,,,,
host_disjoint_4,ok,4605,6,1214,23,47.0,0.005699424094075216,0.447837286680262,0.6205875627047635,0.5849056603773585,0.256198347107438,0.3563218390804598,55.0,22.0,90.0,31.0,0.2857142857142857
host_disjoint_5,ok,4927,6,892,23,47.0,0.007460059663938895,0.5781367392937641,0.6750350410199731,0.6153846153846154,0.2644628099173554,0.3699421965317919,57.0,20.0,89.0,32.0,0.2597402597402597
host_disjoint_6,skipped_single_class_fold,4811,29,1008,0,,,,,,,,,,,,
host_disjoint_7,skipped_single_class_fold,3867,0,1952,29,,,,,,,,,,,,
host_disjoint_8,ok,3899,6,1920,23,45.0,0.019973821037704977,0.6447890952023184,0.7150854665560606,0.7,0.17355371900826447,0.2781456953642384,68.0,9.0,100.0,21.0,0.11688311688311688
host_disjoint_9,skipped_single_class_fold,4755,29,1064,0,,,,,,,,,,,,
host_disjoint_10,ok,3427,23,2392,6,47.0,0.2947481692935481,0.8258559622195984,0.8854100458283974,0.971830985915493,0.5702479338842975,0.71875,75.0,2.0,52.0,69.0,0.025974025974025976
temporal_train70_val15_to_official_test,ok,4073,6,873,23,45.0,0.008567219669601207,0.6563271439304497,0.7314272600920222,0.7761194029850746,0.4297520661157025,0.5531914893617021,62.0,15.0,69.0,52.0,0.19480519480519481
