Model,Family,Candidate,Fold,AP,Params
TabRF,RF,1,1,0.7666666666666666,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
TabRF,RF,1,2,0.573009758602979,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
TabRF,RF,1,3,0.09863778689998202,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
TabRF,RF,1,4,0.6542424242424243,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":2,""n_estimators"":350}"
TabRF,RF,2,1,0.5557142857142856,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":500}"
TabRF,RF,2,2,0.5526143790849674,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":500}"
TabRF,RF,2,3,0.1395021645021645,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":500}"
TabRF,RF,2,4,0.46977443609022557,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":500}"
TabRF,RF,3,1,0.49564102564102563,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":500}"
TabRF,RF,3,2,0.5382587064676616,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":500}"
TabRF,RF,3,3,0.12152777777777778,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":500}"
TabRF,RF,3,4,0.5326315789473683,"{""max_depth"":null,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":500}"
TabRF,RF,4,1,0.607816091954023,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":500}"
TabRF,RF,4,2,0.5459288773242262,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":500}"
TabRF,RF,4,3,0.16208999728923829,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":500}"
TabRF,RF,4,4,0.3996110170023214,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":1,""n_estimators"":500}"
TabRF,RF,5,1,0.67008547008547,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":350}"
TabRF,RF,5,2,0.5168468468468468,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":350}"
TabRF,RF,5,3,0.14724773308532899,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":350}"
TabRF,RF,5,4,0.3836888601594484,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":350}"
TabRF,RF,6,1,0.5257575757575758,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":500}"
TabRF,RF,6,2,0.49940570756104735,"{""max_depth"":null,""max_features"":null,""min_samples_leaf"":4,""n_estimators"":500}"
