ExcludedFile,Repeat,Fold,TrainN,TrainPos,ValN,ValPos,Threshold
labelled_2021may-ip-10-100-1-105.csv,1,1,4291,5,1073,1,0.005691066099213893
labelled_2021may-ip-10-100-1-105.csv,1,2,4291,5,1073,1,0.0028538136298565104
labelled_2021may-ip-10-100-1-105.csv,1,3,4291,5,1073,1,0.0028549225098805455
labelled_2021may-ip-10-100-1-105.csv,1,4,4291,4,1073,2,0.0028465190398725138
labelled_2021may-ip-10-100-1-105.csv,1,5,4292,5,1072,1,0.0043626231552555544
labelled_2021may-ip-10-100-1-105.csv,2,1,4291,5,1073,1,0.0028560322519741005
labelled_2021may-ip-10-100-1-105.csv,2,2,4291,5,1073,1,0.002855477273105815
labelled_2021may-ip-10-100-1-105.csv,2,3,4291,5,1073,1,0.00569767054921865
labelled_2021may-ip-10-100-1-105.csv,2,4,4291,4,1073,2,0.002841236703449647
labelled_2021may-ip-10-100-1-105.csv,2,5,4292,5,1072,1,0.004338415399215503
labelled_2021may-ip-10-100-1-105.csv,3,1,4291,5,1073,1,0.0028560322519741005
labelled_2021may-ip-10-100-1-105.csv,3,2,4291,5,1073,1,0.002852151924004725
labelled_2021may-ip-10-100-1-105.csv,3,3,4291,5,1073,1,0.004344691902559377
labelled_2021may-ip-10-100-1-105.csv,3,4,4291,4,1073,2,0.002849167580500448
labelled_2021may-ip-10-100-1-105.csv,3,5,4292,5,1072,1,0.005707628811077087
labelled_2021may-ip-10-100-1-105.csv,4,1,4291,5,1073,1,0.002855477273105815
labelled_2021may-ip-10-100-1-105.csv,4,2,4291,5,1073,1,0.002855477273105815
labelled_2021may-ip-10-100-1-105.csv,4,3,4291,5,1073,1,0.0028554772731058144
labelled_2021may-ip-10-100-1-105.csv,4,4,4291,4,1073,2,0.002850493699923535
labelled_2021may-ip-10-100-1-105.csv,4,5,4292,5,1072,1,0.005678018101312449
labelled_2021may-ip-10-100-1-105.csv,5,1,4291,5,1073,1,0.005691066099213893
labelled_2021may-ip-10-100-1-105.csv,5,2,4291,5,1073,1,0.0028549225098805455
labelled_2021may-ip-10-100-1-105.csv,5,3,4291,5,1073,1,0.002852151924004725
labelled_2021may-ip-10-100-1-105.csv,5,4,4291,4,1073,2,0.0028544794753137793
labelled_2021may-ip-10-100-1-105.csv,5,5,4292,5,1072,1,0.0028372877990668123
labelled_2021may-ip-10-100-1-105.csv,6,1,4291,5,1073,1,0.002853813629856511
labelled_2021may-ip-10-100-1-105.csv,6,2,4291,5,1073,1,0.005651203987449666
labelled_2021may-ip-10-100-1-105.csv,6,3,4291,5,1073,1,0.00283400006612226
labelled_2021may-ip-10-100-1-105.csv,6,4,4291,4,1073,2,0.002851821054382172
labelled_2021may-ip-10-100-1-105.csv,6,5,4292,5,1072,1,0.0028521530861733446
labelled_2021may-ip-10-100-1-105.csv,7,1,4291,5,1073,1,0.0028405739470457633
labelled_2021may-ip-10-100-1-105.csv,7,2,4291,5,1073,1,0.005592238761478739
labelled_2021may-ip-10-100-1-105.csv,7,3,4291,5,1073,1,0.002853813629856511
labelled_2021may-ip-10-100-1-105.csv,7,4,4291,4,1073,2,0.002857142857142857
labelled_2021may-ip-10-100-1-105.csv,7,5,4292,5,1072,1,0.0027282707269342754
labelled_2021may-ip-10-100-1-105.csv,8,1,4291,5,1073,1,0.00284717839705052
labelled_2021may-ip-10-100-1-105.csv,8,2,4291,5,1073,1,0.002855477273105815
labelled_2021may-ip-10-100-1-105.csv,8,3,4291,5,1073,1,0.004475380721540777
labelled_2021may-ip-10-100-1-105.csv,8,4,4291,4,1073,2,0.002851821054382172
